"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","OWN"
"116","Jaylen Samuels (PIT)","9","28","3.1","6","0","0","9","14","46","5.1","0","0","12","11.9","1.0","1.4%"
"117","Alex Collins (SEA)","13","48","3.7","13","0","1","1","2","4","4.0","0","0","2","11.7","5.9","0.1%"
"118","Mike Boone (MIN)","6","30","5.0","12","0","1","2","2","10","5.0","0","0","15","11.0","0.7","0.3%"
"119","Trayveon Williams (CIN)","22","83","3.8","9","0","0","4","4","27","6.8","0","1","9","11.0","1.2","0.7%"
"120","Tevin Coleman (SF)","28","53","1.9","12","0","0","4","5","34","8.5","0","0","7","10.7","1.5","15.1%"
"121","C.J. Prosise (FA)","10","19","1.9","7","0","0","5","5","18","3.6","1","1","10","10.2","1.0","0.1%"
"122","Artavis Pierce (CHI)","5","35","7.0","23","0","1","0","0","0","0","0","0","4","9.5","2.4","0.0%"
"123","Devine Ozigbo (JAC)","1","1","1.0","1","0","0","9","9","42","4.7","0","0","7","8.8","1.3","1.4%"
"124","Reggie Gilliam (BUF)","0","0","0","0","0","0","2","2","16","8.0","1","0","14","8.6","0.6","0.0%"
"125","Justice Hill (BAL)","10","39","3.9","19","0","0","5","5","20","4.0","0","0","11","8.4","0.8","0.7%"
"126","Anthony Sherman (KC)","2","2","1.0","2","0","0","1","2","5","5.0","1","0","10","7.2","0.7","0.1%"
"127","Buddy Howell (HOU)","16","64","4.0","9","0","0","1","2","3","3.0","0","0","12","7.2","0.6","0.0%"
"128","Marlon Mack (IND)","4","26","6.5","18","0","0","3","3","30","10.0","0","0","1","7.1","7.1","7.9%"
"129","Michael Burton (NO)","7","18","2.6","7","0","0","4","4","28","7.0","0","0","15","6.6","0.4","0.0%"
"130","Trenton Cannon (CAR)","10","33","3.3","13","0","0","3","3","16","5.3","0","0","13","6.4","0.5","0.1%"
"131","Khari Blasingame (TEN)","0","0","0","0","0","0","4","5","39","9.8","0","0","14","5.9","0.4","0.0%"
"132","Dontrell Hilliard (HOU)","9","48","5.3","19","0","0","1","1","2","2.0","0","0","6","5.5","0.9","0.1%"
"133","Alex Armah (CAR)","6","9","1.5","3","0","0","5","8","18","3.6","0","0","15","5.2","0.3","0.0%"
"134","Elijhaa Penny (NYG)","6","15","2.5","5","0","0","2","3","20","10.0","0","0","14","4.5","0.3","0.0%"
"135","Austin Walter (SF)","1","3","3.0","3","0","0","1","1","27","27.0","0","0","3","3.5","1.2","0.0%"
"136","Darwin Thompson (KC)","13","52","4.0","14","0","0","0","4","0","0","0","1","11","3.2","0.3","0.2%"
"137","Ty Montgomery (NO)","1","-4","-4.0","0","0","0","2","4","25","12.5","0","0","5","3.1","0.6","0.1%"
"138","Bo Scarbrough (SEA)","6","31","5.2","12","0","0","0","0","0","0","0","0","1","3.1","3.1","0.1%"
"139","Andy Janovich (CLE)","2","4","2.0","2","0","0","2","5","13","6.5","0","0","13","2.7","0.2","0.1%"
"140","Jonathan Williams (FA)","1","5","5.0","5","0","0","4","4","21","5.3","0","1","5","2.6","0.5","0.0%"
"141","Rico Dowdle (DAL)","7","24","3.4","7","0","0","0","0","0","0","0","0","14","2.4","0.2","0.1%"
"142","Theo Riddick (LV)","6","14","2.3","11","0","0","1","1","3","3.0","0","0","4","2.2","0.6","0.0%"
"143","Scottie Phillips (HOU)","2","9","4.5","5","0","0","1","1","7","7.0","0","0","6","2.1","0.4","0.0%"
"144","LeVante Bellamy (DEN)","3","11","3.7","8","0","0","1","1","5","5.0","0","0","4","2.1","0.5","0.0%"
"145","Chandler Cox (MIA)","0","0","0","0","0","0","2","2","9","4.5","0","0","8","1.9","0.2","0.0%"
"146","Lamar Miller (WAS)","0","0","0","0","0","0","2","2","6","3.0","0","0","1","1.6","1.6","0.3%"
"147","Dwayne Washington (NO)","8","15","1.9","5","0","0","0","0","0","0","0","0","11","1.5","0.1","0.0%"
"148","Rashaad Penny (SEA)","5","15","3.0","6","0","0","0","0","0","0","0","0","2","1.5","0.8","3.2%"
"149","D.J. Foster (ARI)","2","2","1.0","2","0","0","1","1","7","7.0","0","0","9","1.4","0.2","0.0%"
"150","Jason Huntley (PHI)","3","14","4.7","10","0","0","0","1","0","0","0","0","4","1.4","0.4","0.0%"
"151","Craig Reynolds (JAC)","1","4","4.0","4","0","0","1","1","3","3.0","0","0","2","1.2","0.6","0.0%"
"152","Cullen Gillaspia (HOU)","0","0","0","0","0","0","1","1","6","6.0","0","0","7","1.1","0.2","0.0%"
"153","Senorise Perry (TEN)","2","9","4.5","6","0","0","0","0","0","0","0","0","7","0.9","0.1","0.0%"
"154","Dexter Williams (GB)","2","8","4.0","5","0","0","0","0","0","0","0","0","2","0.8","0.4","1.2%"
"155","Tony Brooks-James (ATL)","3","4","1.3","4","0","0","0","0","0","0","0","0","1","0.4","0.4","0.0%"
"156","Gabe Nabers (LAC)","2","7","3.5","4","0","0","4","6","20","5.0","2","0","15","0.3","0.0","0.0%"
"157","Qadree Ollison (ATL)","1","3","3.0","3","0","0","0","0","0","0","0","0","3","0.3","0.1","0.1%"
"158","Kerrith Whyte Jr. (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"159","Taquan Mizzell (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"160","Jeremy Cox (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","7","0.0","0.0","0.0%"
"161","Christian Wade (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"162","John Lovett (GB)","3","6","2.0","4","0","0","0","0","0","0","0","0","8","0.0","0.0","0.0%"
"163","John Kelly (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"164","Darius Anderson (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"165","Javon Leake (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"166","Tavien Feaster (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"167","T.J. Logan (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"168","Elijah McGuire (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"169","Tony Jones Jr. (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"170","Darius Bradwell (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"171","Xavier Jones (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","12","0.0","0.0","0.0%"
"172","Derrick Gore (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"173","Mike Weber (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"174","Michael Warren II (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"175","Khalfani Muhammad (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"176","Eno Benjamin (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"177","Cethan Carter (CIN)","0","0","0","0","0","0","4","5","32","8.0","0","0","14","0.0","0.0","0.0%"
"178","Jordan Scarlett (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"179","Damarea Crockett (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"180","Trey Edmunds (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","4","0.0","0.0","0.0%"
"181","Nick Bawden (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"182","Jacques Patrick (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"183","Anthony Kukwa (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"184","Aca'Cedric Ware (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"185","Ryquell Armstead (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.5%"
"186","Isaac Nauta (GB)","0","0","0","0","0","0","1","2","3","3.0","0","0","7","0.0","0.0","0.0%"
"187","Elijah Holyfield (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"188","Johnny Stanton (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"189","Dalyn Dawkins (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"190","Bryce Love (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.9%"
"191","Patrick Taylor Jr. (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"192","Sandro Platzgummer (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"193","Josh Hokit (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"194","Sewo Olonilua (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"195","Ty'Son Williams (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"196","Raymond Calais (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"197","Patrick Carr (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"198","Malcolm Perry (MIA)","3","5","1.7","6","0","0","8","12","67","8.4","0","0","8","0.0","0.0","0.1%"
"199","Jake Bargas (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"200","Nathan Cottrell (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","7","0.0","0.0","0.0%"
"201","Jonathan Ward (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","13","0.0","0.0","0.0%"
"202","Pete Guerriero (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"203","Antonio Williams (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"204","Garrett Mills (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"205","Andre Anderson (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"206","Javarris James (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"207","Xavier Omon (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"208","Rodney Stewart (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"209","Jay Finley (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"210","Shane Bannon (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"211","Bruce Miller (JAC)","0","0","0","0","0","0","1","2","2","2.0","0","0","8","0.0","0.0","0.0%"
"212","Taiwan Jones (BUF)","0","0","0","0","0","0","0","2","0","0","0","0","13","0.0","0.0","0.0%"
"213","Nick Bellore (SEA)","1","5","5.0","5","0","0","1","1","9","9.0","0","0","14","0.0","0.0","0.0%"
"214","Isaac Odim (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"215","Chad Spann (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"216","Samkon Gado (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"217","Dantrell Savage (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"218","Javarris Williams (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"219","Anthony Alridge (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"220","Chad Simpson (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"221","Matt Lawrence (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"222","Marcus Mailei (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"223","Marcus Mason (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"224","Kenny Irons (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"225","Korey Hall (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"226","Madison Hedgecock (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"227","Brandon Bolden (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"228","Brennan Clay (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"229","Dan Vitale (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"230","Brandin Bryant (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"231","Rod Smith (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"232","Darius Jackson (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"233","Derek Watt (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","11","0.0","0.0","0.1%"
"234","Wendell Smallwood (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"235","Paul Perkins (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"236","Kenjon Barner (TB)","0","0","0","0","0","0","0","1","0","0","0","0","6","0.0","0.0","0.0%"
"237","Tommy Bohanon (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"238","Spencer Ware (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"239","Jamize Olawale (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"240","Cordarrelle Patterson (CHI)","60","214","3.6","13","0","1","21","25","132","6.3","0","0","15","0.0","0.0","7.4%"
"241","Tyler Gaffney (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"242","Carlin Isles (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"243","Tim Flanders (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"244","Damien Williams (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.2%"
"245","Willie Carter (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"246","Adrian Killins Jr. (PHI)","1","-12","-12.0","0","0","0","1","1","2","2.0","0","0","1","-0.5","-0.5","0.0%"
""
""